eps_c_MeVfm3,B_MeVfm3,Delta_MeV,epsilon_surface_MeVfm3,alpha,R_aniso_km,M_msun,R_km,compactness_2M_R,max_sigma_over_pr,NEC_pass,SEC_pass,DEC_pass,n_steps,status
2100.0,80,50,272.5273642590275,-0.2,8.0,1.7460714246614955,9.475,0.5442471242590411,-1.9531059266999343e-06,True,True,True,379,ok
2150.0,80,50,272.5273642590275,-0.2,8.0,1.743460991997984,9.45,0.5448711120386279,-1.9531059266999343e-06,True,True,True,378,ok
2200.0,80,50,272.5273642590275,-0.2,8.0,1.734951265370873,9.4,0.5450957338283577,-1.9531059266999348e-06,True,True,True,376,ok
400.0,80,50,272.5273642590275,-0.1,8.0,0.9461132592536494,9.275,0.30126075994064183,-9.765529633499672e-07,True,True,True,371,ok
450.0,80,50,272.5273642590275,-0.1,8.0,1.1578115213123794,9.775,0.3498118018314696,-9.765529633499672e-07,True,True,True,391,ok
500.0,80,50,272.5273642590275,-0.1,8.0,1.3168040433588373,10.075,0.38600190964928593,-9.765529633499674e-07,True,True,True,403,ok
550.0,80,50,272.5273642590275,-0.1,8.0,1.426459361329059,10.225,0.4120115998759,-9.765529633499674e-07,True,True,True,409,ok
600.0,80,50,272.5273642590275,-0.1,8.0,1.5148115135607458,10.325,0.4332932202815774,-9.765529633499674e-07,True,True,True,413,ok
650.0,80,50,272.5273642590275,-0.1,8.0,1.5812882845960596,10.375,0.4501282858119056,-9.765529633499674e-07,True,True,True,415,ok
700.0,80,50,272.5273642590275,-0.1,8.0,1.6342780189523467,10.4,0.4640940033286737,-9.765529633499674e-07,True,True,True,416,ok
750.0,80,50,272.5273642590275,-0.1,8.0,1.6728849398306693,10.4,0.47505740139120156,-9.765529633499672e-07,True,True,True,416,ok
800.0,80,50,272.5273642590275,-0.1,8.0,1.7018301636761153,10.375,0.484441642792674,-9.765529633499672e-07,True,True,True,415,ok
850.0,80,50,272.5273642590275,-0.1,8.0,1.7258006610861583,10.35,0.4924516964234594,-9.765529633499672e-07,True,True,True,414,ok
900.0,80,50,272.5273642590275,-0.1,8.0,1.7466298383966408,10.325,0.49960200364454294,-9.765529633499674e-07,True,True,True,413,ok
950.0,80,50,272.5273642590275,-0.1,8.0,1.764702266178949,10.3,0.5059965728474716,-9.765529633499674e-07,True,True,True,412,ok
1000.0,80,50,272.5273642590275,-0.1,8.0,1.772262048953831,10.25,0.5106430540993061,-9.765529633499672e-07,True,True,True,410,ok
1050.0,80,50,272.5273642590275,-0.1,8.0,1.7858208237035926,10.225,0.5158078208272794,-9.765529633499672e-07,True,True,True,409,ok
1100.0,80,50,272.5273642590275,-0.1,8.0,1.7895187121082636,10.175,0.5194158316869715,-9.765529633499674e-07,True,True,True,407,ok
1150.0,80,50,272.5273642590275,-0.1,8.0,1.798240017289927,10.15,0.5232328139380262,-9.765529633499674e-07,True,True,True,406,ok
1200.0,80,50,272.5273642590275,-0.1,8.0,1.8002553797163368,10.1,0.5264123871974278,-9.765529633499672e-07,True,True,True,404,ok
1250.0,80,50,272.5273642590275,-0.1,8.0,1.7997386290015942,10.05,0.528879499548006,-9.765529633499674e-07,True,True,True,402,ok
1300.0,80,50,272.5273642590275,-0.1,8.0,1.8058626290681314,10.025,0.5320025158134407,-9.765529633499674e-07,True,True,True,401,ok
1350.0,80,50,272.5273642590275,-0.1,8.0,1.8032539213921746,9.975,0.5338968242520342,-9.765529633499672e-07,True,True,True,399,ok
1400.0,80,50,272.5273642590275,-0.1,8.0,1.8073964372733335,9.95,0.5364678469554477,-9.765529633499674e-07,True,True,True,398,ok
1450.0,80,50,272.5273642590275,-0.1,8.0,1.8031258267325108,9.9,0.5379032843344468,-9.765529633499674e-07,True,True,True,396,ok
1500.0,80,50,272.5273642590275,-0.1,8.0,1.8056684676889538,9.875,0.540025498388065,-9.765529633499674e-07,True,True,True,395,ok
