A,x_match,q,compactness_2M_over_R,branch
4.800000000000001,3.0,4,0.5316126798569962,subcompact
5.000000000000001,3.0,4,0.5537632081843712,subcompact
5.2,3.0,4,0.5759137365117459,subcompact
5.4,3.0,4,0.5980642648391208,subcompact
5.6000000000000005,3.0,4,0.6202147931664956,subcompact
5.800000000000001,3.0,4,0.6423653214938705,subcompact
6.000000000000001,3.0,4,0.6645158498212453,subcompact
6.2,3.0,4,0.6866663781486202,subcompact
6.4,3.0,4,0.7088169064759949,subcompact
6.6000000000000005,3.0,4,0.7309674348033699,subcompact
6.800000000000001,3.0,4,0.7531179631307447,subcompact
7.000000000000001,3.0,4,0.7752684914581196,subcompact
7.2,3.0,4,0.7974190197854943,subcompact
7.4,3.0,4,0.8195695481128691,compact_below_horizon
7.6000000000000005,3.0,4,0.841720076440244,compact_below_horizon
7.800000000000001,3.0,4,0.8638706047676189,compact_below_horizon
8.0,3.0,4,0.8860211330949936,compact_below_horizon
8.2,3.0,4,0.9081716614223684,compact_below_horizon
8.4,3.0,4,0.9303221897497435,compact_below_horizon
8.6,3.0,4,0.9524727180771182,compact_below_horizon
8.799999999999999,3.0,4,0.9746232464044929,compact_below_horizon
9.0,3.0,4,0.9967737747318679,horizon_near_ECO_branch
9.2,3.0,4,1.0189243030592425,horizon_interior_static_caution
9.4,3.0,4,1.0410748313866176,horizon_interior_static_caution
9.6,3.0,4,1.0632253597139925,horizon_interior_static_caution
9.8,3.0,4,1.0853758880413673,horizon_interior_static_caution
10.0,3.0,4,1.1075264163687422,horizon_interior_static_caution
10.2,3.0,4,1.1296769446961168,horizon_interior_static_caution
10.4,3.0,4,1.1518274730234919,horizon_interior_static_caution
10.6,3.0,4,1.1739780013508667,horizon_interior_static_caution
10.8,3.0,4,1.1961285296782416,horizon_interior_static_caution
11.0,3.0,4,1.2182790580056162,horizon_interior_static_caution
11.2,3.0,4,1.240429586332991,horizon_interior_static_caution
11.4,3.0,4,1.2625801146603661,horizon_interior_static_caution
11.6,3.0,4,1.2847306429877408,horizon_interior_static_caution
11.8,3.0,4,1.3068811713151156,horizon_interior_static_caution
12.0,3.0,4,1.3290316996424907,horizon_interior_static_caution
12.2,3.0,4,1.3511822279698653,horizon_interior_static_caution
12.4,3.0,4,1.3733327562972404,horizon_interior_static_caution
12.6,3.0,4,1.3954832846246152,horizon_interior_static_caution
12.8,3.0,4,1.4176338129519899,horizon_interior_static_caution
13.0,3.0,4,1.4397843412793647,horizon_interior_static_caution
13.2,3.0,4,1.4619348696067394,horizon_interior_static_caution
13.4,3.0,4,1.4840853979341144,horizon_interior_static_caution
13.6,3.0,4,1.5062359262614893,horizon_interior_static_caution
13.8,3.0,4,1.5283864545888641,horizon_interior_static_caution
14.0,3.0,4,1.550536982916239,horizon_interior_static_caution
14.2,3.0,4,1.5726875112436138,horizon_interior_static_caution
14.4,3.0,4,1.5948380395709887,horizon_interior_static_caution
14.6,3.0,4,1.6169885678983635,horizon_interior_static_caution
14.8,3.0,4,1.6391390962257382,horizon_interior_static_caution
15.0,3.0,4,1.661289624553113,horizon_interior_static_caution
15.2,3.0,4,1.6834401528804879,horizon_interior_static_caution
15.4,3.0,4,1.7055906812078627,horizon_interior_static_caution
15.6,3.0,4,1.7277412095352376,horizon_interior_static_caution
15.8,3.0,4,1.7498917378626127,horizon_interior_static_caution
16.0,3.0,4,1.7720422661899873,horizon_interior_static_caution
16.2,3.0,4,1.7941927945173621,horizon_interior_static_caution
16.4,3.0,4,1.8163433228447368,horizon_interior_static_caution
16.6,3.0,4,1.8384938511721118,horizon_interior_static_caution
16.8,3.0,4,1.860644379499487,horizon_interior_static_caution
17.0,3.0,4,1.8827949078268618,horizon_interior_static_caution
17.2,3.0,4,1.9049454361542364,horizon_interior_static_caution
17.4,3.0,4,1.9270959644816112,horizon_interior_static_caution
17.6,3.0,4,1.9492464928089863,horizon_interior_static_caution
17.8,3.0,4,1.971397021136361,horizon_interior_static_caution
18.0,3.0,4,1.9935475494637358,horizon_interior_static_caution
18.2,3.0,4,2.0156980777911104,horizon_interior_static_caution
18.4,3.0,4,2.037848606118485,horizon_interior_static_caution
